iter	Logloss
0	0.617281893
1	0.548831578
2	0.4989986253
3	0.4499075306
4	0.4069050137
5	0.3744610489
6	0.3504606989
7	0.3343314128
8	0.3225096384
9	0.3152949959
10	0.301117106
11	0.2884761043
12	0.277424798
13	0.2660993788
14	0.261330033
15	0.2532132842
16	0.2453097544
17	0.2397012803
18	0.2329171499
19	0.2266626864
20	0.2218667
21	0.2171950786
22	0.213016718
23	0.2088475527
24	0.2056681282
25	0.2024332122
26	0.1993012012
27	0.1968612374
28	0.1936282036
29	0.1907924538
30	0.1882387524
31	0.1864715414
32	0.1837010944
33	0.1825394561
34	0.1808706388
35	0.1793690189
36	0.1775181587
37	0.1761713162
38	0.1750874216
39	0.1738364823
40	0.1733905332
41	0.1714716179
42	0.1691857181
43	0.1680039631
44	0.167041826
45	0.1657463948
46	0.1641123088
47	0.1615316943
48	0.1607462691
49	0.1595097948
50	0.1587614518
51	0.1581669146
52	0.1570292565
53	0.1558000751
54	0.1552178839
55	0.1541107565
56	0.1534181722
57	0.1519892039
58	0.1517572411
59	0.1508248384
60	0.1499199201
61	0.1483487342
62	0.1481513286
63	0.1473292463
64	0.1466074985
65	0.1454569842
66	0.1446051452
67	0.1438315795
68	0.1433072328
69	0.1429223704
70	0.1427654903
71	0.1419163487
72	0.1412619885
73	0.1409106777
74	0.1405130353
75	0.1402209237
76	0.1399791805
77	0.1392758114
78	0.1381748103
79	0.1376144877
80	0.1370808338
81	0.1364638338
82	0.1360081649
83	0.1355766509
84	0.1354555654
85	0.1346822386
86	0.1345402424
87	0.1338577671
88	0.1332874118
89	0.1325924549
90	0.1324206128
91	0.1317883312
92	0.1315564447
93	0.1308854149
94	0.1304162997
95	0.1302026501
96	0.1299993875
97	0.1296623296
98	0.1288862891
99	0.1284896116
100	0.1281064255
101	0.1279936828
102	0.1278211858
103	0.1274884028
104	0.1269718885
105	0.1267944342
106	0.126693948
107	0.1264783452
108	0.1263055711
109	0.1255806686
110	0.1252344588
111	0.1248788171
112	0.1242966143
113	0.1238182257
114	0.1230533962
115	0.1229889291
116	0.1224369056
117	0.122020741
118	0.1216469707
119	0.1210329999
120	0.1206452621
121	0.1205971467
122	0.1202912582
123	0.1197343812
124	0.1192201751
125	0.1187514888
126	0.1186894945
127	0.1181815043
128	0.1181139024
129	0.1178118097
130	0.1171563592
131	0.116738336
132	0.1159791044
133	0.1152271027
134	0.1147935687
135	0.1145901759
136	0.1143969075
137	0.1142343596
138	0.1130239788
139	0.112903603
140	0.1127350371
141	0.1123380345
142	0.1120718005
143	0.1119948238
144	0.111613492
145	0.111451542
146	0.1110782974
147	0.1107134357
148	0.1103922529
149	0.1100010059
150	0.1098437676
151	0.1093917149
152	0.1092153614
153	0.1090373845
154	0.1086403142
155	0.1083257891
156	0.1080776508
157	0.1077898765
158	0.1073698153
159	0.1071657267
160	0.1070760904
161	0.1068909977
162	0.1066188829
163	0.1065932953
164	0.106351973
165	0.1056503266
166	0.1054240942
167	0.1050799272
168	0.1047585859
169	0.1046654103
170	0.1044261289
171	0.1039466317
172	0.1036827576
173	0.1034850872
174	0.1031252736
175	0.1028411581
176	0.1024996947
177	0.1016100289
178	0.101586913
179	0.1014330786
180	0.1014108401
181	0.1010535353
182	0.1008442914
183	0.1007027082
184	0.1005182627
185	0.1002773326
186	0.09989907637
187	0.09988226803
188	0.09936232942
189	0.09896476104
190	0.09879403249
191	0.09856143411
192	0.09822482896
193	0.09791142953
194	0.0974301615
195	0.09722947012
196	0.09674470219
197	0.09613174593
198	0.09580064278
199	0.09565831117
200	0.09515415044
201	0.09494770393
202	0.0942089256
203	0.09389940086
204	0.09339691816
205	0.09297384577
206	0.09232190773
207	0.09201316191
208	0.09194922847
209	0.09166174045
210	0.09130611977
211	0.09104075114
212	0.09080865966
213	0.0904162198
214	0.09005345779
215	0.08954774138
216	0.08923948427
217	0.08901202816
218	0.08884299748
219	0.08866421077
220	0.08840389036
221	0.08814285738
222	0.08782740958
223	0.0873830127
224	0.08680688424
225	0.0865416986
226	0.08637639652
227	0.08612451237
228	0.08592734674
229	0.08577871205
230	0.08539384254
231	0.08519186123
232	0.08489482984
233	0.08482806292
234	0.08471037536
235	0.08447561941
236	0.0842196932
237	0.0840940788
238	0.08369189534
239	0.08350291722
240	0.08331267008
241	0.08310700286
242	0.08294393167
243	0.08290482645
244	0.08264358406
245	0.08225799398
246	0.08214313743
247	0.08163440112
248	0.08140068142
249	0.08122655557
250	0.08103086389
251	0.08093058378
252	0.08081147402
253	0.08062257211
254	0.08054355358
255	0.08049715034
256	0.08032556518
257	0.08020355355
258	0.080060766
259	0.07982890922
260	0.07970023644
261	0.07964431162
262	0.07944104246
263	0.07927465603
264	0.07896408628
265	0.07880739987
266	0.07866377433
267	0.07851762441
268	0.07844906452
269	0.07827661967
270	0.07804150685
271	0.07779942542
272	0.07770443973
273	0.07751994572
274	0.0773913896
275	0.07702285267
276	0.07678955237
277	0.07634582319
278	0.07620587152
279	0.07605978899
280	0.07590784215
281	0.07571139915
282	0.07553867102
283	0.07529435292
284	0.07500828355
285	0.07478743255
286	0.0746340219
287	0.07444011196
288	0.07437415681
289	0.07424348019
290	0.07407300686
291	0.07362687128
292	0.07360975297
293	0.07345621166
294	0.07332799806
295	0.07321518235
296	0.07300199793
297	0.07277341252
298	0.07265408506
299	0.07248419377
